go_struct,type_token,defs_name,discriminator,variant_when,embeds,fragment,deprecated,corpus_instances,corpus_prod_instances,exemplar_file,exemplar_path,doc_ref,harness,description,notes
ComputePipesConfig,*,ComputePipesConfig,-,-,-,yes,no,42,40,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,-,jets/compute_pipes/pipes_model.go:11,pass,Complete configuration for a Compute Pipes pipeline,"Here the exemplar_path indicates the whole file, i.e., the json root element."
ComputePipesCommonArgs,*,ComputePipesCommonArgs,-,-,-,no,no,0,0,-,-,jets/compute_pipes/actions_common_model.go:63,untestable,Pipeline configuration for worker nodes - internal to JetStore,This is created by JetStore internally intended for the worker nodes. Not a user-specified configuration.
MetricsSpec,*,MetricsSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:207,pass,Configure metrics to emit during pipeline execution,"Currently not used, keeping for future use"
Metric,*,Metric,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:213,pass,Specific metric configuration to emit during pipeline execution,"Currently not used, keeping for future use"
ClusterSpec,*,ClusterSpec,-,-,-,yes,no,42,40,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,cluster_config,jets/compute_pipes/pipes_model.go:142,pass,"Configuration for the execution of a pipeline (shard size, nbr worker nodes, etc.)",-
ClusterShardingSpec,*,ClusterShardingSpec,-,-,-,yes,no,26,26,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,cluster_config.cluster_sharding_tiers.0,jets/compute_pipes/pipes_model.go:193,pass,Specify a tiered configuration based on file size,This is user-specified.
ClusterShardingInfo,*,ClusterShardingInfo,-,-,-,no,no,0,0,-,-,jets/compute_pipes/actions_common_model.go:36,untestable,Pipeline configuration for worker nodes - internal to JetStore,This is created by JetStore internally intended for the worker nodes. Not a user-specified configuration.
TableSpec,*,TableSpec,-,-,-,yes,no,34,34,workspaces/cedargate_ws/pipes_config/load_master_ccs_icd_cm.pc.json,output_tables.0,jets/compute_pipes/pipes_model.go:492,pass,Shared configuration to load the pipeline output in JetStore DB (postgres),-
TableColumnSpec,*,TableColumnSpec,-,-,-,yes,no,216,216,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,lookup_tables.0.columns.0,jets/compute_pipes/pipes_model.go:546,pass,Column metadata for lookup_tables and output_tables.,-
OutputFileSpec,*,OutputFileSpec,-,-,FileConfig,yes,no,18,18,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,output_files.0,jets/compute_pipes/pipes_model.go:501,pass,Shared configuration for pipeline output location.,-
BadRowsSpec,*,BadRowsSpec,-,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,conditional_pipes_config.0.pipes_config.0.input_channel.bad_rows_config,jets/compute_pipes/pipes_model.go:747,pass,Specify step id folder name in JetStore s3 stage location to save bad rows from input channel.,No live config writes bad_row_config; the exemplar the draft cited did not exist.
BlankFieldMarkersSpec,*,BlankFieldMarkersSpec,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:355,pass,Configure marker text that indicate the value is considered as null or blank,-
ParquetSchemaInfo,*,ParquetSchemaInfo,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/parquet_schema_info.go:16,pass,Define the schema of a parquet file,Typically this is populated by JetStore from the input parquet file. Can be set by user for output files.
FieldInfo,*,FieldInfo,-,-,-,yes,no,0,0,-,-,jets/compute_pipes/parquet_schema_info.go:20,pass,Define the field configuration of a parquet file schema.,Typically this is populated by JetStore from the input parquet file. Can be set by user for output files.
LookupSpec,sql_lookup,LookupSpecSqlLookup,type,-,-,yes,no,44,44,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,lookup_tables.0,jets/compute_pipes/pipes_model.go:222,pass,Lookup table configuration with data sourced from JetStore DB (postgres),-
LookupSpec,s3_csv_lookup,LookupSpecS3CsvLookup,type,-,-,yes,no,3,3,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,lookup_tables.7,jets/compute_pipes/pipes_model.go:222,pass,Lookup table configuration with data sourced from JetStore s3 data source,-
CsvSourceSpec,cpipes,CsvSourceSpecCpipes,type,-,-,yes,no,4,4,workspaces/cedargate_ws/pipes_config/anonymize_file.pc.json,lookup_tables.7.csv_source,jets/compute_pipes/pipes_model.go:234,pass,JetStore s3 data source from cpipes stage pipeline,-
CsvSourceSpec,csv_file,CsvSourceSpecCsvFile,type,-,-,yes,no,0,0,-,-,jets/compute_pipes/pipes_model.go:234,pass,JetStore s3 data source from file key,-
